task,language,id,n,gz,cpu,KB,status,load,secs [15 Apr 2016 u64q n]
regex-dna,Scala,5,5000000,1704,27.868,466024,0,85% 84% 92% 88%,7.982
regex-dna,OCaml,4,50000,1050,0.045,0,0,75% 75% 88% 86%,0.074
regex-dna,OCaml,4,500000,1050,0.139,537632,0,82% 85% 99% 86%,0.655
regex-dna,OCaml,4,5000000,1050,1.385,268480,0,83% 83% 83% 100%,9.429
regex-dna,Python 3,1,50000,478,0.336,44336,0,26% 33% 78% 30%,0.233
regex-dna,Python 3,1,500000,478,2.456,34624,0,39% 32% 71% 50%,1.334
regex-dna,Python 3,1,5000000,478,23.440,266312,0,49% 39% 68% 68%,10.576
regex-dna,F# Mono,3,50000,870,4.300,93092,0,24% 69% 15% 11%,3.671
regex-dna,F# Mono,3,500000,870,11.600,266396,0,47% 41% 67% 37%,6.12
regex-dna,F# Mono,3,5000000,870,84.008,2021328,0,67% 65% 74% 71%,30.537
regex-dna,Haskell GHC,2,50000,1518,0.396,0,0,77% 93% 75% 77%,0.128
regex-dna,Haskell GHC,2,500000,1518,3.948,68288,0,85% 87% 82% 92%,1.157
regex-dna,Haskell GHC,2,5000000,1518,40.776,257400,0,96% 91% 93% 98%,10.842
regex-dna,C gcc,1,50000,2579,0.060,0,0,10% 18% 91% 18%,0.103
regex-dna,C gcc,1,500000,2579,0.516,916,0,40% 38% 42% 88%,0.256
regex-dna,C gcc,1,5000000,2579,5.868,317952,0,53% 51% 48% 92%,2.446
regex-dna,Java,5,50000,929,0.972,1760,0,82% 69% 51% 44%,0.401
regex-dna,Java,5,500000,929,3.372,118684,0,60% 91% 65% 66%,1.202
regex-dna,Java,5,5000000,929,24.700,761724,0,68% 73% 77% 83%,8.243
regex-dna,Smalltalk VW,1,50000,584,7.556,53032,0,100% 1% 1% 0%,7.577
regex-dna,Smalltalk VW,1,500000,584,72.540,99228,0,1% 0% 100% 0%,72.59
regex-dna,Smalltalk VW,1,5000000,584,650.620,375164,0,1% 96% 1% 4%,650.884
regex-dna,Racket,1,50000,527,0.596,39400,0,0% 3% 3% 100%,0.618
regex-dna,Racket,1,500000,527,3.972,153180,0,1% 100% 0% 0%,4.047
regex-dna,Racket,1,5000000,527,39.512,661144,0,1% 1% 0% 100%,39.509
regex-dna,Lisp SBCL,3,50000,1948,0.544,1024,0,37% 32% 73% 47%,0.306
regex-dna,Lisp SBCL,3,500000,1948,4.476,118600,0,84% 44% 45% 39%,2.158
regex-dna,Lisp SBCL,3,5000000,1948,45.228,653188,0,43% 91% 40% 43%,20.979
regex-dna,Dart,2,50000,648,0.616,27196,0,13% 85% 3% 10%,0.609
regex-dna,Dart,2,500000,648,3.648,73516,0,97% 3% 3% 1%,3.562
regex-dna,Dart,2,5000000,648,33.640,335664,0,1% 99% 1% 3%,32.683
regex-dna,C++ g++,2,50000,695,0.068,0,0,75% 0% 0% 60%,0.046
regex-dna,C++ g++,2,500000,695,0.660,1016,0,32% 61% 7% 76%,0.407
regex-dna,C++ g++,2,5000000,695,6.528,210944,0,100% 69% 1% 0%,3.885
regex-dna,Erlang HiPE,6,50000,1058,0.520,756,0,71% 42% 37% 38%,0.314
regex-dna,Erlang HiPE,6,500000,1058,3.656,49172,0,76% 72% 86% 78%,1.202
regex-dna,Erlang HiPE,6,5000000,1058,35.912,383644,0,88% 82% 90% 85%,10.421
regex-dna,Clojure,4,50000,707,3.136,75360,0,33% 50% 51% 94%,1.413
regex-dna,Clojure,4,500000,707,5.884,198308,0,63% 58% 86% 58%,2.263
regex-dna,Clojure,4,5000000,707,28.584,600836,0,96% 79% 77% 75%,8.765
regex-dna,JavaScript V8,2,50000,405,0.056,0,0,0% 63% 17% 0%,0.073
regex-dna,JavaScript V8,2,500000,405,0.348,880,0,100% 0% 5% 3%,0.378
regex-dna,JavaScript V8,2,5000000,405,3.456,584432,0,1% 1% 100% 1%,3.438
regex-dna,Erlang,6,50000,1058,0.516,724,0,71% 68% 96% 68%,0.275
regex-dna,Erlang,6,500000,1058,3.616,44656,0,92% 91% 92% 95%,1.173
regex-dna,Erlang,6,5000000,1058,35.740,441036,0,80% 93% 95% 85%,10.155
regex-dna,Rust,2,50000,669,0.084,0,0,67% 29% 33% 43%,0.065
regex-dna,Rust,2,500000,669,0.680,1856,0,31% 38% 69% 55%,0.409
regex-dna,Rust,2,5000000,669,6.208,221864,0,45% 42% 100% 43%,2.715
reverse-complement,Java,3,250000,1661,0.324,1748,0,17% 16% 85% 27%,0.246
reverse-complement,Java,3,2500000,1661,0.504,1716,0,12% 79% 19% 44%,0.334
reverse-complement,Java,3,25000000,1661,2.680,315296,0,41% 48% 34% 92%,1.273
reverse-complement,Hack,2,250000,261,0.360,1468,0,29% 5% 0% 71%,0.383
reverse-complement,Hack,2,2500000,261,0.952,152956,0,1% 29% 66% 1%,1.062
reverse-complement,Hack,2,25000000,261,6.316,504728,0,0% 2% 100% 0%,6.328
reverse-complement,OCaml,3,250000,1314,0.003,0,0,0% 50% 33% 0%,0.024
reverse-complement,OCaml,3,2500000,1314,0.003,0,0,0% 64% 40% 46%,0.128
reverse-complement,OCaml,3,25000000,1314,0.003,31436,0,47% 47% 52% 70%,0.73
reverse-complement,Perl,3,250000,284,0.041,0,0,0% 20% 56% 0%,0.094
reverse-complement,Perl,3,2500000,284,0.353,17396,0,3% 38% 23% 4%,0.712
reverse-complement,Perl,3,25000000,284,2.739,375760,0,1% 0% 0% 100%,2.743
reverse-complement,JavaScript V8,4,250000,787,0.116,0,0,100% 0% 0% 0%,0.118
reverse-complement,JavaScript V8,4,2500000,787,0.892,49268,0,1% 0% 100% 2%,0.891
reverse-complement,JavaScript V8,4,25000000,787,7.776,403236,0,0% 1% 2% 100%,7.72
reverse-complement,Ruby,1,250000,536,0.172,7184,0,7% 83% 15% 7%,0.6
reverse-complement,Ruby,1,2500000,536,0.876,46768,0,81% 28% 15% 21%,0.872
reverse-complement,Ruby,1,25000000,536,9.656,686764,0,77% 30% 28% 52%,5.236
reverse-complement,Erlang,1,250000,1302,0.384,760,0,33% 59% 35% 29%,0.266
reverse-complement,Erlang,1,2500000,1302,2.224,107548,0,48% 48% 57% 32%,1.227
reverse-complement,Erlang,1,25000000,1302,20.180,1029952,0,44% 46% 51% 56%,10.34
reverse-complement,Racket,2,250000,1026,0.216,1236,0,100% 0% 15% 0%,0.251
reverse-complement,Racket,2,2500000,1026,0.656,46744,0,1% 0% 37% 44%,0.949
reverse-complement,Racket,2,25000000,1026,4.360,176684,0,0% 0% 100% 1%,4.365
reverse-complement,Python 3,6,250000,800,0.076,0,0,11% 0% 0% 100%,0.08
reverse-complement,Python 3,6,2500000,800,0.608,34484,0,22% 31% 62% 26%,0.456
reverse-complement,Python 3,6,25000000,800,4.560,266972,0,20% 99% 2% 29%,3.107
reverse-complement,Clojure,5,250000,727,2.240,71512,0,45% 22% 88% 34%,1.207
reverse-complement,Clojure,5,2500000,727,2.344,103512,0,31% 24% 64% 53%,1.461
reverse-complement,Clojure,5,25000000,727,4.048,579024,0,55% 20% 58% 23%,2.653
reverse-complement,Go,6,250000,1278,0.028,0,0,50% 0% 0% 33%,0.021
reverse-complement,Go,6,2500000,1278,0.152,0,0,60% 40% 22% 56%,0.097
reverse-complement,Go,6,25000000,1278,0.940,88368,0,28% 47% 77% 31%,0.532
reverse-complement,PHP,1,250000,297,0.048,0,0,0% 0% 100% 0%,0.104
reverse-complement,PHP,1,2500000,297,0.484,13188,0,70% 4% 1% 15%,0.703
reverse-complement,PHP,1,25000000,297,4.220,368916,0,100% 1% 0% 0%,4.229
reverse-complement,Scala,8,250000,761,0.320,8,0,8% 42% 73% 8%,0.25
reverse-complement,Scala,8,2500000,761,0.508,3916,0,11% 21% 8% 97%,0.379
reverse-complement,Scala,8,25000000,761,1.804,477268,0,39% 4% 90% 4%,1.356
reverse-complement,C# Mono,1,250000,1099,0.180,1152,0,64% 4% 13% 35%,0.226
reverse-complement,C# Mono,1,2500000,1099,0.348,54252,0,1% 0% 97% 1%,0.717
reverse-complement,C# Mono,1,25000000,1099,1.556,199052,0,3% 3% 1% 99%,1.56
reverse-complement,Haskell GHC,3,250000,999,0.044,0,0,14% 50% 38% 14%,0.068
reverse-complement,Haskell GHC,3,2500000,999,0.268,14508,0,13% 24% 12% 21%,0.539
reverse-complement,Haskell GHC,3,25000000,999,1.576,129168,0,100% 8% 8% 6%,1.419
reverse-complement,Fortran Intel,1,250000,1013,0.019,0,0,0% 0% 0% 100%,0.06
reverse-complement,Fortran Intel,1,2500000,1013,0.180,6548,0,2% 31% 14% 0%,0.511
reverse-complement,Fortran Intel,1,25000000,1013,1.009,248636,0,2% 2% 99% 3%,1.012
reverse-complement,Ada 2005 GNAT,2,250000,3220,0.020,0,0,25% 0% 14% 56%,0.072
reverse-complement,Ada 2005 GNAT,2,2500000,3220,0.144,16484,0,16% 69% 0% 20%,0.502
reverse-complement,Ada 2005 GNAT,2,25000000,3220,0.916,201036,0,27% 32% 4% 56%,0.78
reverse-complement,Rust,1,250000,1807,0.024,0,0,0% 0% 0% 100%,0.075
reverse-complement,Rust,1,2500000,1807,0.148,18720,0,4% 6% 94% 2%,0.514
reverse-complement,Rust,1,25000000,1807,0.920,262516,0,74% 29% 13% 21%,0.716
reverse-complement,Lisp SBCL,1,250000,896,0.036,0,0,100% 14% 29% 0%,0.069
reverse-complement,Lisp SBCL,1,2500000,896,0.276,37120,0,2% 2% 0% 100%,0.602
reverse-complement,Lisp SBCL,1,25000000,896,2.260,304384,0,0% 1% 1% 100%,2.267
reverse-complement,Erlang HiPE,1,250000,1302,0.396,716,0,45% 46% 41% 28%,0.274
reverse-complement,Erlang HiPE,1,2500000,1302,2.368,116748,0,57% 48% 48% 35%,1.273
reverse-complement,Erlang HiPE,1,25000000,1302,21.164,859300,0,33% 92% 30% 42%,10.829
reverse-complement,Smalltalk VW,1,250000,754,0.460,55500,0,4% 2% 94% 0%,0.498
reverse-complement,Smalltalk VW,1,2500000,754,3.388,147852,0,0% 1% 1% 100%,3.418
reverse-complement,Smalltalk VW,1,25000000,754,30.680,406024,0,100% 0% 1% 1%,30.696
reverse-complement,C gcc,2,250000,741,0.012,0,0,100% 33% 0% 0%,0.014
reverse-complement,C gcc,2,2500000,741,0.108,0,0,25% 88% 11% 13%,0.085
reverse-complement,C gcc,2,25000000,741,0.760,251028,0,82% 44% 12% 20%,0.504
reverse-complement,C++ g++,4,250000,2275,0.020,0,0,100% 0% 0% 0%,0.017
reverse-complement,C++ g++,4,2500000,2275,0.132,0,0,33% 70% 56% 13%,0.082
reverse-complement,C++ g++,4,25000000,2275,0.956,214852,0,29% 18% 88% 38%,0.583
reverse-complement,Dart,3,250000,551,0.440,32480,0,12% 2% 81% 13%,0.42
reverse-complement,Dart,3,2500000,551,2.256,271272,0,0% 4% 6% 96%,2.168
reverse-complement,Dart,3,25000000,551,19.836,1765132,0,18% 2% 2% 82%,19.267
reverse-complement,Pascal Free Pascal,2,250000,751,0.024,0,0,0% 14% 100% 0%,0.063
reverse-complement,Pascal Free Pascal,2,2500000,751,0.252,6284,0,0% 0% 3% 98%,0.574
reverse-complement,Pascal Free Pascal,2,25000000,751,1.988,124536,0,1% 1% 100% 1%,1.994
reverse-complement,Ruby JRuby,1,250000,536,7.884,185352,0,40% 50% 46% 40%,6.462
reverse-complement,Ruby JRuby,1,2500000,536,8.612,298684,0,88% 69% 69% 66%,3.01
reverse-complement,Ruby JRuby,1,25000000,536,31.292,2148856,0,79% 74% 66% 66%,11.083
spectral-norm,Go,3,500,536,0.144,0,0,75% 60% 75% 75%,0.047
spectral-norm,Go,3,3000,536,4.680,2144,0,98% 98% 98% 98%,1.205
spectral-norm,Go,3,5500,536,15.700,2724,0,99% 99% 99% 100%,3.95
spectral-norm,F# Mono,3,500,720,1.420,47472,0,19% 52% 23% 18%,1.313
spectral-norm,F# Mono,3,3000,720,6.440,51652,0,64% 69% 59% 56%,2.618
spectral-norm,F# Mono,3,5500,720,18.628,51728,0,81% 84% 80% 88%,5.613
spectral-norm,Rust,1,500,1251,0.160,0,0,71% 57% 67% 60%,0.068
spectral-norm,Rust,1,3000,1251,4.064,36620,0,89% 89% 87% 90%,1.156
spectral-norm,Rust,1,5500,1251,13.476,36716,0,96% 97% 97% 96%,3.507
spectral-norm,Smalltalk VW,2,500,438,0.892,53468,0,2% 97% 0% 0%,0.918
spectral-norm,Smalltalk VW,2,3000,438,27.168,53472,0,99% 0% 0% 2%,27.178
spectral-norm,Smalltalk VW,2,5500,438,91.032,55628,0,1% 0% 1% 100%,91.071
spectral-norm,Java,2,500,950,0.484,1576,0,33% 76% 34% 29%,0.301
spectral-norm,Java,2,3000,950,5.356,31952,0,87% 87% 97% 89%,1.501
spectral-norm,Java,2,5500,950,16.532,32696,0,96% 96% 96% 99%,4.278
spectral-norm,PHP,1,500,1135,1.560,16904,0,57% 51% 73% 63%,0.805
spectral-norm,PHP,1,3000,1135,53.532,16964,0,99% 99% 99% 99%,13.576
spectral-norm,PHP,1,5500,1135,177.284,21584,0,100% 100% 100% 100%,44.448
spectral-norm,Ruby,5,500,835,6.416,12116,0,87% 86% 86% 82%,2.074
spectral-norm,Ruby,5,3000,835,156.504,53360,0,94% 95% 95% 94%,41.747
spectral-norm,Ruby,5,5500,835,516.916,54680,0,97% 97% 96% 96%,134.209
spectral-norm,Fortran Intel,3,500,638,0.082,0,0,67% 100% 100% 100%,0.025
spectral-norm,Fortran Intel,3,3000,638,2.445,1352,0,100% 98% 98% 100%,0.621
spectral-norm,Fortran Intel,3,5500,638,7.901,3392,0,99% 100% 99% 100%,1.984
spectral-norm,Ada 2005 GNAT,4,500,2762,0.076,0,0,50% 0% 40% 50%,0.05
spectral-norm,Ada 2005 GNAT,4,3000,2762,2.352,4096,0,95% 95% 95% 94%,0.626
spectral-norm,Ada 2005 GNAT,4,5500,2762,7.872,4236,0,99% 99% 99% 99%,2.004
spectral-norm,JavaScript V8,2,500,361,0.148,0,0,6% 94% 0% 6%,0.151
spectral-norm,JavaScript V8,2,3000,361,4.688,13100,0,1% 0% 0% 100%,4.691
spectral-norm,JavaScript V8,2,5500,361,15.704,13168,0,100% 1% 0% 1%,15.711
spectral-norm,Hack,3,500,1195,1.360,128700,0,38% 41% 41% 71%,0.738
spectral-norm,Hack,3,3000,1195,16.820,129796,0,90% 96% 89% 89%,4.632
spectral-norm,Hack,3,5500,1195,54.152,132300,0,96% 96% 95% 98%,14.094
spectral-norm,Perl,4,500,551,1.676,5448,0,84% 90% 86% 86%,0.486
spectral-norm,Perl,4,3000,551,57.165,7436,0,96% 97% 98% 98%,14.756
spectral-norm,Perl,4,5500,551,190.774,9540,0,96% 96% 99% 96%,49.434
spectral-norm,Swift,3,500,624,0.160,0,0,14% 67% 80% 100%,0.063
spectral-norm,Swift,3,3000,624,4.820,6648,0,100% 47% 55% 99%,1.616
spectral-norm,Swift,3,5500,624,16.076,8580,0,2% 99% 100% 100%,5.37
spectral-norm,Dart,5,500,486,0.284,1072,0,67% 4% 22% 15%,0.273
spectral-norm,Dart,5,3000,486,5.088,25656,0,98% 3% 2% 1%,5.049
spectral-norm,Dart,5,5500,486,16.028,27440,0,0% 1% 1% 99%,15.892
spectral-norm,Lisp SBCL,3,500,883,0.484,1132,0,48% 27% 32% 48%,0.311
spectral-norm,Lisp SBCL,3,3000,883,4.912,29564,0,86% 87% 86% 87%,1.428
spectral-norm,Lisp SBCL,3,5500,883,15.912,29640,0,95% 96% 96% 96%,4.158
spectral-norm,C gcc,4,500,1139,0.088,0,0,100% 67% 100% 100%,0.026
spectral-norm,C gcc,4,3000,1139,2.364,1768,0,98% 100% 98% 98%,0.606
spectral-norm,C gcc,4,5500,1139,7.872,1784,0,99% 99% 100% 99%,1.984
spectral-norm,C++ g++,6,500,1044,0.072,0,0,100% 100% 100% 100%,0.022
spectral-norm,C++ g++,6,3000,1044,2.368,1780,0,98% 98% 97% 100%,0.605
spectral-norm,C++ g++,6,5500,1044,7.996,1772,0,100% 100% 100% 100%,2.012
spectral-norm,Python 3,5,500,437,7.568,54440,0,90% 91% 90% 93%,2.1
spectral-norm,Python 3,5,3000,437,273.376,56188,0,97% 98% 97% 97%,70.284
spectral-norm,Python 3,5,5500,437,932.412,58892,0,94% 95% 92% 93%,250.117
spectral-norm,TypeScript,3,500,394,0.204,988,0,100% 5% 0% 0%,0.213
spectral-norm,TypeScript,3,3000,394,4.740,23964,0,1% 1% 100% 0%,4.746
spectral-norm,TypeScript,3,5500,394,15.760,24416,0,0% 1% 100% 0%,15.765
spectral-norm,Racket,3,500,627,0.376,1252,0,22% 22% 18% 79%,0.275
spectral-norm,Racket,3,3000,627,7.020,32376,0,89% 83% 81% 86%,2.079
spectral-norm,Racket,3,5500,627,23.076,34492,0,97% 95% 96% 95%,6.045
spectral-norm,Ruby JRuby,4,500,326,10.486,651880,0,67% 38% 41% 59%,5.164
spectral-norm,Ruby JRuby,4,3000,326,79.450,659684,0,14% 28% 35% 33%,73.698
spectral-norm,Ruby JRuby,4,5500,326,250.627,673640,0,21% 24% 31% 28%,243.925
spectral-norm,Lua,1,500,329,1.596,2136,0,100% 1% 1% 0%,1.6
spectral-norm,Lua,1,3000,329,56.520,2364,0,0% 100% 1% 0%,56.541
spectral-norm,Lua,1,5500,329,188.764,2444,0,1% 0% 0% 100%,188.812
spectral-norm,OCaml,3,500,938,0.356,0,0,58% 58% 80% 73%,0.128
spectral-norm,OCaml,3,3000,938,4.949,2876,0,87% 83% 86% 89%,1.442
spectral-norm,OCaml,3,5500,938,16.017,3496,0,93% 94% 93% 92%,4.314
spectral-norm,Haskell GHC,4,500,987,0.144,0,0,80% 83% 80% 50%,0.055
spectral-norm,Haskell GHC,4,3000,987,4.676,7900,0,92% 93% 84% 93%,1.296
spectral-norm,Haskell GHC,4,5500,987,15.696,11916,0,95% 97% 99% 98%,4.048
spectral-norm,Erlang HiPE,2,500,747,0.788,18340,0,52% 48% 45% 48%,0.43
spectral-norm,Erlang HiPE,2,3000,747,21.432,25352,0,95% 94% 94% 93%,5.719
spectral-norm,Erlang HiPE,2,5500,747,71.124,28684,0,96% 97% 97% 97%,18.394
spectral-norm,Erlang,2,500,747,1.340,17700,0,89% 55% 47% 55%,0.555
spectral-norm,Erlang,2,3000,747,42.760,23232,0,97% 98% 97% 97%,11.007
spectral-norm,Erlang,2,5500,747,144.208,22676,0,99% 98% 99% 98%,36.601
spectral-norm,Clojure,8,500,918,2.576,60608,0,72% 39% 51% 41%,1.294
spectral-norm,Clojure,8,3000,918,7.612,62160,0,73% 65% 97% 70%,2.522
spectral-norm,Clojure,8,5500,918,18.380,63380,0,85% 87% 86% 95%,5.231
spectral-norm,Scala,5,500,693,0.760,1772,0,90% 30% 41% 30%,0.406
spectral-norm,Scala,5,3000,693,5.432,38452,0,79% 82% 80% 88%,1.655
spectral-norm,Scala,5,5500,693,16.560,38900,0,94% 93% 92% 97%,4.414
spectral-norm,C# Mono,2,500,1063,0.500,1152,0,37% 28% 28% 53%,0.357
spectral-norm,C# Mono,2,3000,1063,6.776,40224,0,86% 94% 87% 87%,1.92
spectral-norm,C# Mono,2,5500,1063,22.040,42276,0,96% 96% 98% 96%,5.734
spectral-norm,Pascal Free Pascal,1,500,423,0.132,0,0,100% 0% 0% 7%,0.136
spectral-norm,Pascal Free Pascal,1,3000,423,4.768,8,0,1% 0% 100% 0%,4.774
spectral-norm,Pascal Free Pascal,1,5500,423,15.972,8,0,0% 1% 100% 0%,15.979
thread-ring,Perl,3,500000,489,11.918,732104,0,22% 53% 12% 22%,9.984
thread-ring,Perl,3,5000000,489,81.386,732076,0,27% 26% 24% 34%,64.047
thread-ring,Perl,3,50000000,489,764.220,732004,0,30% 25% 25% 29%,617.454
thread-ring,Erlang HiPE,2,500000,273,0.612,22676,0,76% 5% 10% 16%,0.587
thread-ring,Erlang HiPE,2,5000000,273,4.356,21728,0,2% 90% 8% 3%,4.335
thread-ring,Erlang HiPE,2,50000000,273,41.596,32548,0,1% 0% 1% 100%,41.59
thread-ring,Scala,3,500000,546,1.704,60016,0,28% 46% 58% 33%,1.341
thread-ring,Scala,3,5000000,546,3.844,183008,0,13% 86% 13% 22%,2.929
thread-ring,Scala,3,50000000,546,22.108,381068,0,60% 10% 8% 28%,21.19
thread-ring,Ada 2005 GNAT,6,500000,1015,1.356,1012,0,80% 80% 78% 87%,0.428
thread-ring,Ada 2005 GNAT,6,5000000,1015,10.560,19936,0,78% 78% 77% 78%,3.392
thread-ring,Ada 2005 GNAT,6,50000000,1015,78.404,20140,0,65% 68% 67% 65%,28.944
thread-ring,F# Mono,3,500000,329,0.884,50068,0,98% 2% 2% 1%,0.89
thread-ring,F# Mono,3,5000000,329,2.612,53660,0,84% 1% 1% 16%,2.621
thread-ring,F# Mono,3,50000000,329,20.408,57600,0,1% 1% 0% 100%,20.432
thread-ring,Java,7,500000,473,5.756,35932,0,22% 20% 32% 28%,4.633
thread-ring,Java,7,5000000,473,53.556,38060,0,26% 27% 23% 23%,42.792
thread-ring,Java,7,50000000,473,518.668,52740,0,30% 30% 21% 21%,399.1
thread-ring,Haskell GHC,1,500000,306,0.160,0,0,17% 92% 23% 23%,0.12
thread-ring,Haskell GHC,1,5000000,306,1.160,11768,0,14% 68% 41% 11%,0.957
thread-ring,Haskell GHC,1,50000000,306,11.240,9892,0,6% 87% 11% 14%,9.262
thread-ring,Go,6,500000,420,0.160,0,0,100% 0% 0% 6%,0.164
thread-ring,Go,6,5000000,420,1.560,2824,0,99% 0% 1% 1%,1.563
thread-ring,Go,6,50000000,420,15.528,3088,0,100% 1% 0% 0%,15.522
thread-ring,Rust,2,500000,940,4.204,69528,0,61% 52% 55% 60%,1.886
thread-ring,Rust,2,5000000,940,40.532,65600,0,62% 60% 61% 61%,16.814
thread-ring,Rust,2,50000000,940,405.908,67572,0,61% 58% 58% 61%,171.62
thread-ring,Python 3,2,500000,288,5.120,12644,0,32% 24% 25% 33%,3.795
thread-ring,Python 3,2,5000000,288,53.704,12524,0,28% 30% 30% 27%,39.632
thread-ring,Python 3,2,50000000,288,525.612,12468,0,31% 28% 27% 30%,389.494
thread-ring,C# Mono,1,500000,476,11.444,58356,0,46% 38% 43% 45%,6.323
thread-ring,C# Mono,1,5000000,476,96.804,56632,0,47% 45% 43% 44%,50.839
thread-ring,C# Mono,1,50000000,476,1002.264,54072,0,47% 45% 40% 46%,529.23
thread-ring,Clojure,2,500000,299,4.880,210608,0,70% 57% 44% 32%,2.418
thread-ring,Clojure,2,5000000,299,11.828,406720,0,33% 28% 32% 34%,9.385
thread-ring,Clojure,2,50000000,299,80.476,410804,0,25% 28% 29% 25%,76.772
thread-ring,Racket,1,500000,262,1.616,47272,0,1% 2% 1% 100%,1.621
thread-ring,Racket,1,5000000,262,14.840,64736,0,67% 35% 0% 1%,14.854
thread-ring,Racket,1,50000000,262,147.936,115856,0,1% 1% 86% 15%,147.979
thread-ring,C++ g++,2,500000,588,3.808,7456,0,28% 25% 26% 29%,3.056
thread-ring,C++ g++,2,5000000,588,37.860,7428,0,34% 22% 22% 33%,29.348
thread-ring,C++ g++,2,50000000,588,355.660,7428,0,36% 20% 20% 36%,269.456
thread-ring,Ruby,1,500000,331,4.876,21740,0,5% 58% 57% 3%,3.719
thread-ring,Ruby,1,5000000,331,53.068,21752,0,25% 35% 35% 25%,39.458
thread-ring,Ruby,1,50000000,331,537.036,21912,0,32% 28% 28% 32%,401.342
thread-ring,C gcc,3,500000,916,1.732,9632,0,99% 1% 2% 1%,1.727
thread-ring,C gcc,3,5000000,916,16.808,9736,0,100% 0% 1% 1%,16.814
thread-ring,C gcc,3,50000000,916,169.608,9644,0,100% 1% 0% 1%,169.67
thread-ring,Erlang,3,500000,465,0.560,19688,0,21% 4% 9% 69%,0.554
thread-ring,Erlang,3,5000000,465,4.180,21512,0,3% 3% 1% 95%,4.13
thread-ring,Erlang,3,50000000,465,39.160,21588,0,1% 100% 1% 1%,39.16
thread-ring,Lisp SBCL,1,500000,618,4.352,580660,0,4% 48% 51% 17%,3.275
thread-ring,Lisp SBCL,1,5000000,618,37.968,564848,0,34% 24% 22% 35%,27.18
thread-ring,Lisp SBCL,1,50000000,618,431.964,550540,0,25% 32% 33% 24%,313.661
thread-ring,OCaml,3,500000,296,3.842,5492,0,2% 51% 51% 2%,2.95
thread-ring,OCaml,3,5000000,296,37.210,7444,0,7% 43% 43% 6%,29.66
thread-ring,OCaml,3,50000000,296,371.149,5488,0,23% 22% 21% 23%,317.009
thread-ring,Smalltalk VW,2,500000,566,0.540,53812,0,0% 95% 2% 4%,0.566
thread-ring,Smalltalk VW,2,5000000,566,4.080,53952,0,0% 100% 1% 0%,4.084
thread-ring,Smalltalk VW,2,50000000,566,38.900,56664,0,0% 100% 1% 1%,38.919
thread-ring,Ruby JRuby,1,500000,342,16.855,646192,0,59% 24% 33% 58%,9.333
thread-ring,Ruby JRuby,1,5000000,342,109.359,647792,0,32% 35% 34% 29%,79.11
thread-ring,Ruby JRuby,1,50000000,342,700.968,802808,0,30% 27% 26% 26%,568.332
